Restaurant,Burguer,CalFat,Cal,Fat,SatFat,Sodium,Carbs,Protein
Chilis,Bacon Burger,612,1050,68,21,1750,53,55
Chilis,Big Mouth Bites,1197,2120,133,38,4200,139,65
Chilis,Southern Bacon…,963,1610,107,36,4150,81,53
Chilis,Mushroom-Swiss…,729,1470,81,24,3450,120,53
Chilis,Avocado Burger,639,1570,90,29,3170,138,54
Chilis,Smokehouse Bacon,1098,1720,122,44,3819,62,93
Per,Sunrise Burger,820,1580,91,29,2490,114,70
Per,Tangler Burger,900,1500,100,29,1940,81,70
Per,BBQ Bacon Sup…,740,1020,82,29,2260,83,71
Per,Hamburger,560,1060,62,18,1220,71,56
Per,Bleu Bayou Burger,740,1290,82,22,1550,83,58
Per,Four Cheese Burger,840,1440,94,33,1850,77,75
Per,Cheesburger (Kids),580,1060,64,21,1390,73,49
Per,Sassy Pepper Jack,760,1340,85,26,2010,77,72
OBS,Bacon Cheese,646,1113,72,28,2127,44,69
OBS,Bloomin’ Burger,697,1121,77,30,2831,76,56
Denny,Double Cheeseburger,1044,1540,116,52,3880,33,92
Denny,Bacon SlamBurger,530,1010,58,24,1730,56,56
Denny,Bacon Cheddar,648,1100,72,31,2660,55,61
Apple,Quesadilla Burger,927,1240,103,43,3530,45,77
Apple,Cowboy Burger,603,1120,67,23,2460,74,58
Apple,Bourbon Black…,810,1310,90,35,2630,59,66
Apple,Cheeseburger Slider,720,1240,80,25,2260,81,51
Apple,Southwest Jalapeno,630,1110,70,24,2100,65,56
Apple,Bacon Cheese Slider,765,1310,85,27,2500,82,56
Har,2/3lb Double Bacon ,870,1300,97,38,2200,50,54
BK,Double ChWhopper,580,990,65,24,1480,53,62
Hou,Tilamook Burger,477,936,53,23,1266,50,58
What,Green Chile Double,570,1020,64,26,1867,66,50
What,Monterey Melt,660,1130,74,27,4050,58,55
What,Thick and Hearty,560,1040,62,24,2037,63,50
What,Chop House Cheddar,690,1170,76,29,1599,56,55
DQ,1/2lb FlameThrower,680,1060,75,26,1980,41,54
DQ,Jalito Ranch Hungr…,527,972,59,21,1128,63,47
Sonic,Cheese w/ Mayo,573,999,64,24,1591,62,46
Sonic,Cheese w/Mustard,680,1120,76,32,1550,44,63
Sonic,Dbl Cheeseburger,730,1160,81,33,1580,44,63
Jack,BBQ Bacon Sirloin,440,1010,49,19,2190,91,52
Jack,Double Bacon …,690,1120,76,28,1670,66,45
