Region,State,All_cancers,Lung,Colon,Melanoma,F_breast,Pancreas,Leukemia,Ovarian,Cervix,Prostate,Liver
Connecticut,CT,584.1,54.4,52.4,27.9,133.9,16.2,13.7,12.1,6.5,172.8,9.8
Maine,ME,598.9,70.4,53.6,24.6,128.9,13.1,20.7,11.8,7.5,165.7,6.2
Massachusetts,MA,571,62.6,50.7,26,131.7,13.3,16,11.8,5.3,166.9,10.9
New Hampshire,NH,567.6,60.4,48.8,33,128.8,14.4,15.7,12.5,5.1,158.6,6.5
Rhode Island,RI,603.3,71.6,54.5,24.7,139.2,11.8,16.4,11.8,7,170.1,10.8
Vermont,VT,529.7,67.7,40.2,33.8,133.7,14,13.3,10.8,7.9,148,9.5
New Jersey,NJ,602.1,58.9,57,27.6,129.3,15.6,16.8,13.3,9.2,183.1,9.8
New York,NY,578.3,55,54.5,19.3,124.2,14.8,17,13,8.4,171.5,12.7
Pennsylvania,PA,591.3,68.6,58.5,20.4,122.7,14.1,16.4,13.7,8.4,167.3,10.7
Illinois,IL,573.1,68.4,61.5,20.4,124.6,14,15.3,12.6,8.3,165,9.5
Indiana,IN,525.4,81.4,57,20.9,112.8,13.1,13.5,11.7,7.4,132,8.4
Michigan,MI,574.5,70.3,52.3,21.6,119.1,14.8,16,13.1,8,168.5,8.5
Ohio,OH,537.4,78,55,22.8,117.7,13.2,13.3,12,7.5,148.1,7.2
Wisconsin,WI,504.3,61.4,46.4,19.2,116.8,13.7,18.4,12.7,5.4,142.7,7.8
Iowa,IA,536.7,67.8,55.4,21.7,122.8,12.1,16.1,13.7,6.1,138.5,5.7
Kansas,KS,553.1,70,55.7,25.1,123.9,10.9,16.9,12.6,6.9,158.8,8.2
Minnesota,MN,570.9,57.9,51.1,27.3,132,11.4,20.2,12.1,5.7,187.3,6.7
Missouri,MO,549.3,79.1,58.2,21.6,114.6,13.8,13.8,11.5,8.4,142.3,9.7
Nebraska,NE,550.1,66.1,63.6,18.9,115.5,10.8,17.5,10.4,8,162.5,6.4
North Dakota,ND,557.3,52.8,73.3,20.4,124.8,14.5,20.3,12.9,7.9,164.7,6.1
South Dakota,SD,483.8,64.1,53.1,14.6,118.8,11,11.5,11.4,5.4,161.3,9.9
Delaware,DE,616.7,66.2,56.1,30.3,132.7,13.6,15.1,15.4,8.5,204,10.6
District of Columbia,DC,572.5,61.5,56.8,13.7,133.8,17,9.7,9.4,11.2,207.2,12.4
Florida,FL,510,60.5,47.8,24.2,112.6,12.7,13.1,11.8,8.8,137.7,9.9
Georgia,GA,559.4,76.8,53,25.6,122.1,14.5,13.7,13.2,8.4,169,9
Maryland,MD,528.9,63.2,48.8,27.2,123.2,13.7,13.5,11.2,6.4,162.5,9.3
North Carolina,NC,558.2,80.2,51.3,25.3,123.4,12.7,14.4,12,7.2,154.2,9.2
South Carolina,SC,541.4,78.8,51.4,27,121.1,12.2,14.1,11.4,7.9,160.5,8
Virginia,VA,538.9,69.9,49.1,28.3,124.4,11.9,12.4,11.3,6.2,173.4,7.5
West Virginia,WV,593.2,87.6,62.9,20.8,113.5,13.8,18.4,11.9,9.2,156.6,7.9
Alabama,AL,576.2,90.2,59.5,25.4,117,13.8,15.3,11.1,9.6,165.2,8.7
Kentucky,KY,605.3,100.7,65.4,30,120.4,13,15,11.3,9,146,7.6
Mississippi,MS,616.3,98.2,60.2,20.2,113.9,13.7,13.8,10.3,8.9,181.1,10.1
Tennessee,TN,568.8,91.5,54.9,26.7,118.1,13.5,13.9,11.8,7.8,155.8,8.9
Louisiana,LA,605.1,80.5,63.7,17.1,117.2,12.7,16,9.6,8.8,180.9,11.1
Oklahoma,OK,601.9,85.4,56.7,29.5,125,13.8,20.2,13,10.3,172.2,10.2
Texas,TX,528.9,63.4,52.6,18.6,112.4,12.7,14.8,11.8,9.7,151.7,13.5
Arizona,AZ,426.5,48.6,39.9,18.9,99.9,12,11,11.6,7.1,120,9.5
Colorado,CO,495.8,45.2,45.9,22.7,121.5,12.1,15.2,13.3,6.9,160.3,9.3
Idaho,ID,524.4,51.3,45.4,28,123.7,13.1,17.3,15,4.7,167.4,5
Montana,MT,485.1,59.1,45.4,23,116.8,11.6,14.4,11,5.1,158.2,4.7
New Mexico,NM,456.6,46.2,44.7,19,109.7,10.9,15.4,11.9,6.9,137.9,12.7
Utah,UT,470.3,26.4,40.7,37.1,103.5,10.3,15.4,9.1,4.5,171.4,5.2
Wyoming,WY,478,52.3,42.8,17.8,109.1,9.5,15.7,7.3,6.2,170.4,7.1
Alaska,AK,437.6,70,39,7.9,124.7,9.5,12.9,13.1,6.2,122,7.3
California,CA,501.8,48.5,49.7,26.6,122.2,12.5,14.5,12.3,8.1,148.1,12.9
Hawaii,HI,487.8,50,57.6,21.4,122.7,15.1,12.5,12.2,6.9,128,14.9
Oregon,OR,508.8,59.1,46.1,28.7,129.6,12.2,13.5,12.7,7.9,145.2,8.5
Washington,WA,525.3,56.6,45.9,27.5,124,13,17.1,12.5,5.9,155.1,10.1
